best_so_far,mean_R,method,round,seed
1.0,0.879539202403263,adalead,9,1
1.0,0.8839631224627723,adalead,10,1
1.0,0.9014168263049308,adalead,11,1
1.0,0.8960438816036981,adalead,12,1
1.0,0.8567723263297373,adalead,13,1
1.0,0.8937331630604539,adalead,14,1
1.0,0.8344209956999791,adalead,15,1
1.0,0.906924191058732,adalead,16,1
1.0,0.886665999015901,adalead,17,1
1.0,0.8676213979799438,adalead,18,1
1.0,0.902580578253909,adalead,19,1
1.0,0.03204377068172766,price_rl,0,1
1.0,0.15949232712041617,price_rl,1,1
1.0,0.40991997115146306,price_rl,2,1
1.0,0.6140729980463617,price_rl,3,1
1.0,0.9411597388823952,price_rl,4,1
1.0,0.9618015711980031,price_rl,5,1
1.0,0.9789530477066962,price_rl,6,1
1.0,0.9919977735381333,price_rl,7,1
1.0,1.0,price_rl,8,1
1.0,0.9979785162193111,price_rl,9,1
1.0,0.9966339126803686,price_rl,10,1
1.0,0.9948949946090561,price_rl,11,1
1.0,1.0,price_rl,12,1
1.0,0.9996628956838444,price_rl,13,1
1.0,1.0,price_rl,14,1
1.0,1.0,price_rl,15,1
1.0,1.0,price_rl,16,1
1.0,1.0,price_rl,17,1
1.0,1.0,price_rl,18,1
1.0,1.0,price_rl,19,1
1.0,0.03204377068172766,price_rl_fixed,0,1
1.0,0.038787518838658164,price_rl_fixed,1,1
1.0,0.050415055167068984,price_rl_fixed,2,1
1.0,0.05704672278146208,price_rl_fixed,3,1
1.0,0.06663542392800728,price_rl_fixed,4,1
1.0,0.08023931778505064,price_rl_fixed,5,1
1.0,0.11973664044947037,price_rl_fixed,6,1
1.0,0.1711798495257989,price_rl_fixed,7,1
1.0,0.1657454470564016,price_rl_fixed,8,1
1.0,0.2399054882465067,price_rl_fixed,9,1
1.0,0.32708021507999807,price_rl_fixed,10,1
1.0,0.33382385935587755,price_rl_fixed,11,1
1.0,0.4301652980297275,price_rl_fixed,12,1
1.0,0.5940824011828256,price_rl_fixed,13,1
1.0,0.6542807004595105,price_rl_fixed,14,1
1.0,0.7827597621144977,price_rl_fixed,15,1
1.0,0.8330917451236769,price_rl_fixed,16,1
1.0,0.8524115295451913,price_rl_fixed,17,1
1.0,0.8852305497630277,price_rl_fixed,18,1
1.0,0.9401855159937977,price_rl_fixed,19,1
1.0,0.03711334988182879,random,0,2
1.0,0.03191818308269696,random,1,2
1.0,0.03549838404596058,random,2,2
1.0,0.0252310805836724,random,3,2
1.0,0.04481347546148989,random,4,2
1.0,0.03301815544025016,random,5,2
1.0,0.01809370933319043,random,6,2
1.0,0.026136817118092803,random,7,2
1.0,0.011342979660097764,random,8,2
1.0,0.045539027329264126,random,9,2
1.0,0.03124974703526318,random,10,2
1.0,0.036096792203964806,random,11,2
1.0,0.028759357331276315,random,12,2
1.0,0.028167909601708035,random,13,2
1.0,0.055532369124679216,random,14,2
1.0,0.033975110512868494,random,15,2
1.0,0.023691569656427422,random,16,2
1.0,0.01646543530295383,random,17,2
1.0,0.03130541897248484,random,18,2
1.0,0.01839956967396106,random,19,2
1.0,0.03711334988182879,pex,0,2
1.0,0.15991638449658166,pex,1,2
1.0,0.22625255889790616,pex,2,2
1.0,0.23270512669874244,pex,3,2
1.0,0.2543895211830496,pex,4,2
1.0,0.2506509405108117,pex,5,2
1.0,0.2332288094783764,pex,6,2
1.0,0.23500869280191877,pex,7,2
1.0,0.24397642827032162,pex,8,2
1.0,0.2825729507232332,pex,9,2
1.0,0.26640784888829555,pex,10,2
1.0,0.26278036893323636,pex,11,2
1.0,0.23702567846923825,pex,12,2
1.0,0.24091908897428513,pex,13,2
1.0,0.2473351243239934,pex,14,2
1.0,0.2502749530842716,pex,15,2
1.0,0.26987208964271586,pex,16,2
