best_so_far,mean_R,method,round,seed
1.0,0.9891250370326212,price_rl_fixed,32,0
1.0,0.9869001139715285,price_rl_fixed,33,0
1.0,0.9947299750147809,price_rl_fixed,34,0
1.0,0.9881180634730887,price_rl_fixed,35,0
1.0,0.9910483955654792,price_rl_fixed,36,0
1.0,0.9895499287488306,price_rl_fixed,37,0
1.0,0.9927666329955287,price_rl_fixed,38,0
1.0,0.997404598029442,price_rl_fixed,39,0
1.0,0.03666461738112591,random,0,1
1.0,0.023132716150603368,random,1,1
1.0,0.048406149728995505,random,2,1
1.0,0.041554972198423246,random,3,1
1.0,0.024044854360953768,random,4,1
1.0,0.029927945655427824,random,5,1
1.0,0.04251543768662332,random,6,1
1.0,0.029632449138161935,random,7,1
1.0,0.027938361603486415,random,8,1
1.0,0.039545267021692775,random,9,1
1.0,0.05046031560878667,random,10,1
1.0,0.02628568468227463,random,11,1
1.0,0.02098718171811184,random,12,1
1.0,0.028035464300713856,random,13,1
1.0,0.03493658395344023,random,14,1
1.0,0.03121479968043097,random,15,1
1.0,0.028824035899574982,random,16,1
1.0,0.025129434667966376,random,17,1
1.0,0.03121858996948351,random,18,1
1.0,0.03343033120175423,random,19,1
1.0,0.024512649603486807,random,20,1
1.0,0.032473519748898845,random,21,1
1.0,0.03528201661279121,random,22,1
1.0,0.030920997881452753,random,23,1
1.0,0.040188036079435246,random,24,1
1.0,0.025601701479705544,random,25,1
1.0,0.04301686362000911,random,26,1
1.0,0.04260992970106841,random,27,1
1.0,0.027997331123241306,random,28,1
1.0,0.03283912351517879,random,29,1
1.0,0.0254977031824746,random,30,1
1.0,0.060514689577404204,random,31,1
1.0,0.0364503940531989,random,32,1
1.0,0.013349409623253228,random,33,1
1.0,0.03998451616658395,random,34,1
1.0,0.04212929973058565,random,35,1
1.0,0.026020932671752605,random,36,1
1.0,0.04196124331084686,random,37,1
1.0,0.04700779241069565,random,38,1
1.0,0.02269716589120691,random,39,1
1.0,0.03666461738112591,pex,0,1
1.0,0.15749384043658793,pex,1,1
1.0,0.2716239778378445,pex,2,1
1.0,0.24285299802535548,pex,3,1
1.0,0.2861493080477204,pex,4,1
1.0,0.2221301088423521,pex,5,1
1.0,0.236814127984299,pex,6,1
1.0,0.2355378249532558,pex,7,1
1.0,0.1827600057175799,pex,8,1
1.0,0.27424865574880963,pex,9,1
1.0,0.29932822645751883,pex,10,1
1.0,0.23189328913400664,pex,11,1
1.0,0.19952418851822543,pex,12,1
1.0,0.2371673345018763,pex,13,1
1.0,0.25936228491967966,pex,14,1
1.0,0.2755577961991602,pex,15,1
1.0,0.2514275961891129,pex,16,1
1.0,0.2505389442986991,pex,17,1
1.0,0.23781909555397765,pex,18,1
1.0,0.2567615829875911,pex,19,1
1.0,0.24496169590745281,pex,20,1
1.0,0.25142948410064125,pex,21,1
1.0,0.23982751033927457,pex,22,1
1.0,0.20390679422909752,pex,23,1
1.0,0.2266554323261186,pex,24,1
1.0,0.20977064946696067,pex,25,1
1.0,0.2803323343239585,pex,26,1
1.0,0.24038829615478016,pex,27,1
1.0,0.20674647039110497,pex,28,1
1.0,0.21538281261384498,pex,29,1
1.0,0.24166216903303828,pex,30,1
1.0,0.25629130235159614,pex,31,1
1.0,0.25854266902240985,pex,32,1
1.0,0.25838065143169553,pex,33,1
1.0,0.24331322311973708,pex,34,1
1.0,0.21558400387281879,pex,35,1
1.0,0.20174876447689052,pex,36,1
1.0,0.21423080138110634,pex,37,1
1.0,0.2705310930217691,pex,38,1
1.0,0.2630799428714785,pex,39,1
1.0,0.03666461738112591,adalead,0,1
1.0,0.5530015616434095,adalead,1,1
1.0,0.9065610855625917,adalead,2,1
1.0,0.8892808066728116,adalead,3,1
1.0,0.8854991707368771,adalead,4,1
